parent_cell,X,Y
1,22.25593667546174,8013.234498680738
2,24.42028100183262,3565.228619425779
3,30.466793529971454,3678.6567078972407
4,42.133372048006194,7895.388404955478
5,35.28756444109141,9145.23877781969
6,43.94597615499255,9409.54694485842
7,35.84609195402299,9821.54275862069
8,37.90650296815974,3829.342822450081
9,53.89966703662597,9470.982463928967
10,38.489221293444785,5798.082380114386
11,38.94316163410302,3423.501141842172
12,27.555931384392366,8407.89417733752
13,49.33742911153119,6264.457348771267
14,46.474334357398874,2331.7864823348696
15,32.11700497893528,2995.4486786671773
16,48.206085319949814,3747.6703262233377
17,46.572107567229516,6342.679049405879
18,51.096987344607456,9534.398588867734
19,42.297838270616495,6674.307591527768
20,52.84505578269004,9694.430392904165
21,52.656566613010135,2833.908720765079
22,56.801258267462494,2942.341345378287
23,49.59417267473038,7105.109277244831
24,51.491204002582315,8629.253954163976
25,51.26145823803861,4316.854267679078
26,41.432002825856586,991.4670905451549
27,64.487228439763,4207.207702435813
28,47.97386717813474,8728.3326540398
29,38.96812573443008,9917.254112808461
30,90.31628358692133,2900.124312075105
31,83.36126829268292,8030.763902439025
32,78.48582843358963,7805.61043268506
33,71.85940681717574,3052.3359008410803
34,60.77553509360327,9258.597414476493
35,65.65112781954888,3590.628007518797
36,77.10338818973862,6407.7194578896415
37,57.30836271705143,7509.0738473820775
38,77.6279601722282,6064.462055974166
39,73.65661691542289,2056.1126368159203
40,57.35609340620342,2698.491092341543
41,81.39764433846376,7008.0973336223715
42,85.11028832519301,5694.830838716454
43,69.47729580734078,6504.350718119832
44,83.95309617918313,9952.984584980237
45,90.54998607630186,7402.6576858813705
46,73.78309661581623,1903.4520427844993
47,71.54509212369356,6189.673849800668
48,97.1706783369803,8782.019474835886
49,82.66362396390726,4020.9592907354945
50,95.4338538597525,6128.963317619328
51,89.62823397075366,1041.0997375328084
52,82.50027230996655,3213.5461759900413
53,91.40818508797511,6870.194808982211
54,99.80296784830998,8308.491343775762
55,99.52618273745034,8379.336403033587
56,90.00867795157488,1411.4622348403686
57,88.91753343239228,1830.8780089153047
58,77.13994416798155,6772.722903264959
59,110.06541176470589,3591.146117647059
60,98.79982434806108,5425.33171193082
61,88.41248628058622,8868.834269481567
