parent_cell,Adamts2,Adarb2,Agmat,Aqp4,Batf3,Bcl11b,Bcl6,Blnk,Calb1,Car12,Cartpt,Ccn2,Chat,Chodl,Chrna5,Col24a1,Cox6a2,Csf1r,Cspg4,Cux1,Cux2,Cxcl14,Deptor,Dkk3,Dlx1,Egln3,Egr2,Endou,Etv1,Fam84b,Fezf2,Flt1,Fos,Foxp2,Gad1,Gfap,Glra3,Gpx3,Hsd11b1,Htr3a,Id3,Inpp4b,Kit,Lamp5,Lhx6,Lpl,Ly6d,Man1a,Mog,Neurod1,Nfib,Nos1,Nr4a2,Nr5a1,Ntsr1,Nxph4,Obscn,Olig2,Oprk1,Otof,Pcp4,Pde1a,Pdgfra,Pdia5,Pecam1,Plp1,Pou3f2,Prox1,Ptgs2,Pthlh,Pvalb,Rasgrf2,Rbfox3,Reln,Rora,Rorb,Rspo1,Satb2,Scn7a,Scnn1a,Slc17a7,Slc17a8,Snap25,Sncg,Sox10,Spi1,Sst,Syt6,Tacr1,Tbata,Tbr1,Th,Tle4,Tox,Trem2,Trhr,Trib2,Tshz2,Vip,Wnt7b
1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,2,0,0,0,10,1,0,0,0,0,0,16,0,1,0,0,3,0,0,29,0,77,0,0,0,0,4,0,1,3,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,2,0,2,0,0,0,0,0,1,1,1,0,0,0,1,8,0,0,0,5,0,1,4,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,2,6,0,3,3,0,5,2,0,51,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,1,0,1,4,1,1,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,11,9,0,1,0,3,1,2,0,0,1,0,10,0,0,0,0,5,0,0,74,0,70,1,0,0,0,3,0,2,4,0,1,0,0,0,0,1,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,3,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,3,0,2,0,0,0,1,2,0,1,9,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5,2,0,0,0,0,0,1,1,0,3,0,2,1,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,5,5,3,2,3,5,2,0,0,4,0,7,0,1,0,19,0,0,0,0,0,0,0,0,3,8,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,1,1,1,0,0,7,16,7,4,3,1,2,0,0,27,0,97,0,0,0,142,3,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,8,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,11,12,2,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,5,4,0,0,0,1,2,1,1,0,0,4,14,0,4,15,4,6,0,0,67,0,85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
12,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,2,0,0,2,2,0,0,0,115,0,0,0,0,0,0,2,0,0,1,0,1,0,0,13,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
